BID,Project,Product_Code,WBS,Status,Bug_hours,Created,Updated
59,02367,WCS,1.3.3.x.3.y.1,C,5,2016/05/12 13:50,2016/07/27 16:35
60,02367,WCS,1.3.3.x.3.y.1,C,1,2016/05/12 13:50,2016/06/30 10:31
61,02392,WCS,1.3.3.x.2.y.1,C,16,2016/05/12 11:33,2016/09/07 15:27
62,02392,WCS,1.3.3.x.2.y.1,C,6,2016/05/12 11:33,2016/08/24 16:34
63,02392,WCS,1.2.x.y.1.1,C,10,2016/05/12 11:32,2016/08/10 15:12
64,02392,WCS,1.3.3.x.2.y.1,C,16,2016/05/12 11:31,2016/07/27 15:27
65,02392,WCS,1.3.3.x.2.y.1,C,1,2016/05/12 11:31,2016/07/26 14:30
66,02392,WCS,1.3.1.x.y.1.1,C,7,2016/05/12 11:30,2016/06/30 10:31
67,02392,WCS,1.1.2.x.y.1,C,21,2016/05/12 11:29,2016/06/20 10:49
68,02433,WCS,1.3.3.x.2.y.1,C,3,2016/05/12 11:20,2016/07/27 16:34
69,02367,WCS,1.3.3.x.3.y.1,C,10,2016/05/11 18:47,2016/09/07 15:30
70,02367,WCS,1.3.3.x.2.y.1,C,6,2016/05/11 18:46,2016/08/02 11:49
71,02367,WCS,1.3.3.x.2.y.1,C,22,2016/05/11 18:45,2016/08/09 09:35
72,02392,WCS,1.3.3.x.2.y.1,C,5,2016/05/11 16:08,2016/09/07 15:27
73,02392,WCS,1.3.3.x.2.y.1,C,22,2016/05/11 16:07,2016/08/24 16:34
74,02392,WCS,1.3.3.x.2.y.1,C,3,2016/05/11 16:06,2016/07/27 15:28
75,02392,WCS,1.3.3.x.2.y.1,C,14,2016/05/11 16:04,2016/06/21 13:41
76,02392,WCS,1.3.3.x.2.y.1,C,4,2016/05/11 16:04,2016/06/17 11:53
77,02392,WCS,1.3.3.x.3.y.1,C,1,2016/05/11 16:01,2016/06/16 16:33
78,02471,WCS,1.3.3.x.2.y.1,C,8,2016/05/11 15:33,2016/08/02 17:49
79,02247,WCS,1.3.3.x.3.y.1,C,2,2016/05/11 15:20,2016/08/31 11:28
80,02247,WCS,1.3.3.x.3.y.1,C,7,2016/05/11 14:46,2016/08/31 08:53
81,02367,WCS,1.3.3.x.2.y.1,C,10,2016/05/11 13:11,2016/08/16 17:18
82,02367,WCS,1.3.3.x.2.y.1,C,10,2016/05/11 13:08,2016/06/17 11:53
83,02392,WCS,1.3.3.x.2.y.1,C,21,2016/05/11 12:39,2016/09/13 15:17
84,02392,WCS,1.3.3.x.2.y.1,C,17,2016/05/11 12:38,2016/09/06 13:08
85,02392,WCS,1.3.3.x.2.y.1,C,10,2016/05/11 12:37,2016/08/03 11:27
86,02392,WCS,1.3.3.x.3.y.1,C,8,2016/05/11 12:32,2016/06/21 08:19
87,02392,WCS,1.3.3.x.2.y.1,C,10,2016/05/11 12:30,2016/06/17 11:52
88,02392,WCS,1.3.3.x.3.y.1,C,2,2016/05/11 12:23,2016/09/21 16:12
89,02392,WCS,1.3.3.x.3.y.1,C,13,2016/05/11 12:20,2016/09/22 13:17
90,02471,WCS,1.3.3.x.2.y.1,C,18,2016/05/11 11:45,2016/07/25 11:14
91,02367,WCS,1.3.3.x.2.y.1,C,16,2016/05/11 11:27,2016/09/27 10:42
92,02367,WCS,1.3.3.x.3.y.1,C,12,2016/05/11 11:20,2016/06/16 16:46
93,02392,WCS,1.3.3.x.3.y.1,C,14,2016/05/11 09:44,2016/09/07 15:28
